properties.ObjectId,properties.StopID,properties.PID,properties.actionTakenDuringStop,properties.personSearchConsentGiven,properties.propertySearchConsentGiven
36761,27588,3,Asked for consent to search person,TRUE,NULL
36762,27588,3,Asked for consent to search property,NULL,TRUE
36763,27588,3,Curbside detention,NULL,NULL
36764,27588,3,Person removed from vehicle by order,NULL,NULL
36765,27588,4,Asked for consent to search person,TRUE,NULL
36766,27588,4,Asked for consent to search property,NULL,TRUE
36767,27588,4,Curbside detention,NULL,NULL
36768,27588,4,Person removed from vehicle by order,NULL,NULL
36769,27588,5,Asked for consent to search person,TRUE,NULL
36770,27588,5,Asked for consent to search property,NULL,TRUE
36771,27588,5,Curbside detention,NULL,NULL
36772,27588,5,Person removed from vehicle by order,NULL,NULL
36773,27588,6,Asked for consent to search person,TRUE,NULL
36774,27588,6,Asked for consent to search property,NULL,TRUE
36775,27588,6,Curbside detention,NULL,NULL
36776,27588,6,Person removed from vehicle by order,NULL,NULL
36777,27589,1,Handcuffed or flex cuffed,NULL,NULL
36778,27589,1,Patrol car detention,NULL,NULL
36779,27589,1,Search of person was conducted,NULL,NULL
36780,27590,1,None,NULL,NULL
36781,27743,1,Asked for consent to search person,TRUE,NULL
36782,27743,1,Curbside detention,NULL,NULL
36783,27743,2,Asked for consent to search person,TRUE,NULL
36784,27743,2,Curbside detention,NULL,NULL
36785,27744,1,None,NULL,NULL
36786,27745,1,Curbside detention,NULL,NULL
36787,27745,1,Search of person was conducted,NULL,NULL
36788,27746,1,None,NULL,NULL
36789,27747,1,Asked for consent to search person,TRUE,NULL
36790,27747,1,Patrol car detention,NULL,NULL
36791,27747,2,Asked for consent to search person,TRUE,NULL
36792,27747,2,Patrol car detention,NULL,NULL
36793,27748,1,Patrol car detention,NULL,NULL
36794,27748,1,Search of person was conducted,NULL,NULL
36795,27749,1,None,NULL,NULL
36796,27749,2,None,NULL,NULL
36797,27750,1,None,NULL,NULL
36798,27751,1,None,NULL,NULL
36799,27752,1,None,NULL,NULL
36800,27753,1,None,NULL,NULL
36801,27826,2,None,NULL,NULL
36802,27826,3,None,NULL,NULL
36803,28084,1,None,NULL,NULL
36804,27827,1,None,NULL,NULL
36805,28085,1,None,NULL,NULL
36806,27828,1,None,NULL,NULL
36807,28086,1,None,NULL,NULL
36808,27829,1,None,NULL,NULL
36809,28087,1,None,NULL,NULL
36810,27830,1,None,NULL,NULL
